stationid,date,in_bike,out_bike
2494.0,2017-01-03,13.0,14.0
2494.0,2017-01-04,12.0,9.0
2494.0,2017-01-05,13.0,10.0
2494.0,2017-01-06,5.0,4.0
2494.0,2017-01-07,4.0,4.0
2494.0,2017-01-08,3.0,2.0
2494.0,2017-01-09,7.0,13.0
2494.0,2017-01-10,16.0,19.0
2494.0,2017-01-11,12.0,11.0
2494.0,2017-01-12,12.0,16.0
2494.0,2017-01-13,15.0,19.0
2494.0,2017-01-14,18.0,19.0
2494.0,2017-01-15,8.0,7.0
2494.0,2017-01-16,10.0,13.0
2494.0,2017-01-17,8.5,8.0
2494.0,2017-01-18,7.0,3.0
2494.0,2017-01-19,20.0,21.0
2494.0,2017-01-20,17.0,21.0
2494.0,2017-01-21,34.0,36.0
2494.0,2017-01-22,10.0,14.0
2494.0,2017-01-23,17.0,17.0
2494.0,2017-01-24,4.0,13.0
2494.0,2017-01-25,14.0,12.0
2494.0,2017-01-26,8.0,13.0
2494.0,2017-01-27,9.0,11.0
2494.0,2017-01-28,5.0,6.0
2494.0,2017-01-29,6.0,13.0
2494.0,2017-01-30,10.0,10.0
2494.0,2017-01-31,9.0,13.0
2494.0,2017-02-01,15.0,16.0
2494.0,2017-02-02,11.0,16.0
2494.0,2017-02-03,8.0,15.0
2494.0,2017-02-04,9.0,6.0
2494.0,2017-02-05,10.0,10.0
2494.0,2017-02-06,11.0,13.0
2494.0,2017-02-07,12.0,11.0
2494.0,2017-02-08,13.0,15.0
2494.0,2017-02-09,21.0,27.0
2494.0,2017-02-10,29.0,31.0
2494.0,2017-02-11,25.0,30.0
2494.0,2017-02-12,23.0,21.0
2494.0,2017-02-13,21.0,21.0
2494.0,2017-02-14,9.0,15.0
2494.0,2017-02-15,17.0,18.0
2494.0,2017-02-16,18.0,22.0
2494.0,2017-02-17,30.0,37.0
2494.0,2017-02-18,59.0,62.0
2494.0,2017-02-19,24.0,17.0
2494.0,2017-02-20,14.0,27.0
2494.0,2017-02-21,25.0,22.0
2494.0,2017-02-22,15.0,16.0
2494.0,2017-02-23,11.0,13.0
2494.0,2017-02-24,27.0,32.0
2494.0,2017-02-25,34.0,44.0
2494.0,2017-02-26,29.0,29.0
2494.0,2017-02-27,17.0,15.0
2494.0,2017-02-28,11.0,12.0
2494.0,2017-03-01,17.0,22.0
2494.0,2017-03-02,11.0,16.0
2494.0,2017-03-03,32.0,32.0
2494.0,2017-03-04,5.0,8.0
2494.0,2017-03-05,15.0,16.0
2494.0,2017-03-06,21.0,33.0
2494.0,2017-03-07,24.0,21.0
2494.0,2017-03-08,14.0,22.0
2494.0,2017-03-09,30.0,28.0
2494.0,2017-03-10,54.0,59.0
2494.0,2017-03-11,44.0,50.0
2494.0,2017-03-12,48.0,74.0
2494.0,2017-03-13,79.0,94.0
2494.0,2017-03-14,94.0,101.0
2494.0,2017-03-15,90.0,109.0
2494.0,2017-03-16,87.0,87.0
2494.0,2017-03-17,60.0,66.0
2494.0,2017-03-18,64.0,68.0
2494.0,2017-03-19,37.0,40.0
2494.0,2017-03-20,17.0,17.0
2494.0,2017-03-21,14.0,20.0
2494.0,2017-03-22,18.0,23.0
2494.0,2017-03-23,20.0,26.0
2494.0,2017-03-24,22.0,25.0
